Info 0    [17:01:27.166] Starting TS Server
Info 231  [17:06:02.545] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 232  [17:06:02.601] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 73 structureChanged: false structureIsReused:: Completely Elapsed: 55.45466600358486ms
Info 233  [17:06:02.601] Different program with same set of files
Info 234  [17:06:03.507] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 235  [17:06:03.560] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 74 structureChanged: false structureIsReused:: Completely Elapsed: 52.473471999168396ms
Info 236  [17:06:03.560] Different program with same set of files
Info 237  [17:06:03.920] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 238  [17:06:03.970] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 75 structureChanged: false structureIsReused:: Completely Elapsed: 49.38555700331926ms
Info 239  [17:06:03.970] Different program with same set of files
Info 240  [17:06:03.972] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 241  [17:06:03.995] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 76 structureChanged: false structureIsReused:: Completely Elapsed: 22.599297001957893ms
Info 242  [17:06:03.995] Different program with same set of files
Info 243  [17:06:04.475] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 244  [17:06:04.526] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 77 structureChanged: false structureIsReused:: Completely Elapsed: 50.25057200342417ms
Info 245  [17:06:04.526] Different program with same set of files
Info 246  [17:06:04.549] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 247  [17:06:04.573] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 78 structureChanged: false structureIsReused:: Completely Elapsed: 24.19895700365305ms
Info 248  [17:06:04.573] Different program with same set of files
Info 249  [17:06:04.831] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 250  [17:06:04.885] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 79 structureChanged: false structureIsReused:: Completely Elapsed: 53.90053699910641ms
Info 251  [17:06:04.885] Different program with same set of files
Info 252  [17:06:04.910] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 253  [17:06:04.934] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 80 structureChanged: false structureIsReused:: Completely Elapsed: 22.98328999429941ms
Info 254  [17:06:04.934] Different program with same set of files
Info 255  [17:06:05.864] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 256  [17:06:05.913] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 81 structureChanged: false structureIsReused:: Completely Elapsed: 48.69209200143814ms
Info 257  [17:06:05.913] Different program with same set of files
Info 258  [17:06:06.174] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 259  [17:06:06.210] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 82 structureChanged: false structureIsReused:: Completely Elapsed: 35.63441099971533ms
Info 260  [17:06:06.210] Different program with same set of files
Info 261  [17:06:06.981] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 262  [17:06:07.032] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 83 structureChanged: false structureIsReused:: Completely Elapsed: 50.97919099777937ms
Info 263  [17:06:07.032] Different program with same set of files
Info 264  [17:06:08.156] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 265  [17:06:08.205] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 84 structureChanged: false structureIsReused:: Completely Elapsed: 49.067308001220226ms
Info 266  [17:06:08.205] Different program with same set of files
Info 267  [17:06:09.453] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 268  [17:06:09.504] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 85 structureChanged: false structureIsReused:: Completely Elapsed: 50.52719300240278ms
Info 269  [17:06:09.504] Different program with same set of files
Info 270  [17:06:09.505] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 271  [17:06:09.528] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 86 structureChanged: false structureIsReused:: Completely Elapsed: 23.087611004710197ms
Info 272  [17:06:09.528] Different program with same set of files
Info 273  [17:06:10.060] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 274  [17:06:10.108] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 87 structureChanged: false structureIsReused:: Completely Elapsed: 48.62246299535036ms
Info 275  [17:06:10.108] Different program with same set of files
Info 276  [17:06:10.144] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 277  [17:06:10.171] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 88 structureChanged: false structureIsReused:: Completely Elapsed: 26.658745005726814ms
Info 278  [17:06:10.171] Different program with same set of files
Info 279  [17:06:10.512] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
